96cb,d4e7
a057,bc1d
c115,e92d
8eaf,ad81
a4b9,a70f
8243,d88f
e4b5,f257
cd09,e90f
92a1,c719
b795,fcc5
ba79,ed41
ab5b,e33b
9635,adf3
a535,b6b1
b629,eac7
a8c7,aef5
d829,e203
bd4f,ee21
bc33,cad9
abc5,f521
bce1,c4eb
a423,bd35
b6a5,fa21
8047,883d
e6ad,eb07
12af9,1c079
114c1,11e6f
14057,1c447
14d79,1c8d9
17761,18d69
1186d,18c9d
14ffb,174bb
175eb,1b271
13895,1c433
1036d,1a9f9
11b37,1b937
111fb,137a1
129d9,1975f
13dc9,1bb51
1112b,1da4d
1a50f,1c445
1719d,1d8cf
10aa5,190bb
1ba7f,1f2d7
16105,17c8f
19a3b,1a1f1
14345,1bee7
14707,1ce7f
16e73,1d503
18a43,1c26d
23269,248e1
33023,3f9bb
2563f,31c21
37d95,396e9
35e4b,3a303
3bbfd,3e989
2a4ed,38b6f
3bfd7,3ddff
209dd,368bf
259ab,3c5db
2855b,300a3
28b7f,2feeb
241a9,26e3d
38d73,3c3f1
20def,276b3
2919b,2a997
2ae05,3eba3
33dc3,3514d
2b0c9,3258d
27071,3074f
2c26f,3401f
253d3,3e8bb
30989,346ff
20ab5,37c5b
2fb49,36985
5e301,64225
6578b,68eff
64f75,746f9
54389,63265
42e09,62447
579df,7e119
4eab5,64837
5334b,6e0a7
671a7,6dfb7
64baf,75815
537e9,674bf
4c61f,7a01b
45bdd,54f35
461f3,62d6b
4e9a9,6103d
5c67d,7b5bf
4ba8b,54d75
5437d,63de7
4d69f,54acf
5f7fb,63fb3
4d557,5bc5d
52dbd,5cc89
6030d,7a83d
42895,7b445
4ef71,56a11
8f461,ffbff
a5803,c3409
b66d7,ff739
84179,86d95
ad2e7,db1bd
d1879,e1d6f
bab33,d2161
db991,e9167
975cb,e6ddf
81509,d0339
d08f7,d8ffb
b5b6d,fe25d
c92b9,cc37d
8b535,f5669
c8d35,ca0f7
c10db,dfadb
aeb33,cbc0b
bc563,ffc65
8b651,f5219
9900d,d9393
9726d,f80f3
db635,eb47b
a2ed7,ba5e9
90337,afe61
cebbb,e2fcf
16eb8d,1f0e8f
1087ab,16c25b
1b8ac5,1ebc0b
1d603b,1d8325
1a320f,1dd98f
120ae7,17bc97
13cba1,174a8b
1218cd,1a53c3
1b43db,1e735b
16ac35,1d8525
1713bf,17251d
1201e5,1ff055
12751f,1d5919
13fc73,1703b7
17a8e7,1e478f
173a9b,1fb397
12e131,1f1a91
13b161,19b8d1
1097bf,113167
18ec59,1ddfa7
1693ff,1b634d
113831,1baf07
13aba9,1ed9f7
15c75b,1958e7
149e7b,156d81
34dd97,3c9f73
2cd595,2d0e11
3980b7,3dff97
2a41ef,36a5c5
2ac09b,306179
316283,3ad447
23cd13,2b9e9b
28cd39,32b03d
20e3c7,227861
37b049,3c384b
2a9187,3aaf7d
2250d7,2e522d
2f0ddd,392869
2a7645,3f22bb
284f17,3e6d19
33de83,365f23
30c53f,3af47d
29181d,2c7ff1
351517,3e5ded
33861d,3f8ec7
35988b,3ea199
265ca9,367d99
26ceaf,361895
22d365,25353b
2a2233,379d77
595cc9,68601d
4e442d,501a2b
5b426d,6d79d5
5a1bef,5bc11b
5bf46f,78a529
73fe55,75c90d
6308c9,648931
5803df,5bcbbb
4a97bf,5efda1
4e8111,54138b
408be7,6d6b43
445487,66936d
4b4dbf,5eeae5
446b31,50a87b
4b0cf7,796ea7
75ec3f,7d11db
5db095,68b883
642bdb,651abb
4df59d,7b6437
45447d,69db4f
68398f,7e6ecf
556057,77f5a5
59a6a1,7f420f
4843a5,7edc1b
5029e7,55b50b
c1fe79,fb22fd
e59187,fb4961
9ea0fb,a8afcd
bbff91,f677e9
a6174f,b9e4f9
ac72b7,ce0adf
88b8b1,8b5d25
961123,a27987
9d3303,cf12fd
c0326f,efccf5
a663e5,bb3427
c00ac3,e3443d
ca2b3f,f4bc25
89e68b,9ba05b
a5f3b3,c187f1
c740ff,fbe603
9fe7fb,b38d8d
a923f5,e54db5
ac8437,e00603
a78765,e57bf1
b6554d,c83e91
aa24ad,f919df
83e5f1,e54b31
8d6079,e6bd99
816b89,cade9f
15dee1d,1af1f31
133037f,1c89833
1299f29,1ba1ff9
17cdbcb,1f3709b
10ac62d,1d5e7f1
1d51579,1dcebe9
12b36e7,1c32ac9
184e0d9,1fa5f9d
11a400f,175d8c7
163723f,17214bb
1310f81,1bf6a87
1c3bb65,1e109d3
1059169,174e08d
1117123,185a8ef
19988f9,1fd35c3
162bc1b,1f285a5
1855e95,1e984e3
